Sample Size;corr speed (ms);Statistics.cor speed (ms);Speed-up;;;Sample
1 * 48000   ;   30.78   ;   1.4 ;    21.98571429    ;;;48000
2 * 48000   ;   36.81   ;   1.5 ;    24.54          ;;;96000
3 * 48000   ;   40.27   ;   1.5 ;    26.84666667    ;;;144000
4 * 48000   ;   45.49   ;   1.6 ;    28.43125       ;;;192000
5 * 48000   ;   49.89   ;   1.7 ;    29.34705882    ;;;240000
6 * 48000   ;   55.61   ;   1.8 ;    30.89444444    ;;;288000
7 * 48000   ;   62.14   ;   1.9 ;    32.70526316    ;;;336000
8 * 48000   ;   65.4    ;   1.7 ;    38.47058824    ;;;384000
9 * 48000   ;   70.91   ;   1.9 ;    37.32105263    ;;;432000
10 * 48000  ;   75.6    ;   2   ;    37.8           ;;;480000
